,Komentar,jumlahlike,tanggal,waktu,komentator,Sentiment
2748,ngentod,1.0,2020-03-03,03:47:20,xdreaction731,positive
2749,presenternya gantilah,0.0,2020-03-03,03:45:41,aroundthestadion,positive
2750,nahh jangan sombong akhirnya kebobolan juga kan,0.0,2020-03-03,03:44:42,boyboyonk6173,positive
2751,semoga warga lenteng agung aman dari corona,0.0,2020-03-03,03:44:01,riskysetiawan9936,positive
2752,gara2 dansa jd kena firuus,0.0,2020-03-03,03:41:30,salwanisa5335,negative
2753,bkn wktunya utk sling menyalahkan krna klo than tbuh klian lemah jg mudah teular jdi kta jaga kesehatan n berdoa smga tdk menular n sgera teratasi,0.0,2020-03-03,03:40:50,anakrantauchannel5442,positive
2754,infeksi virus corona untuk orang indonesia kelihatan gejalanya lambat sebagai contoh wni yg ada di taiwan juga masih sempat tiktok di ruang isolasi terus yg di jakaa terinfeksi tgl 14 feb baru mengalami batuk dan demam tgl 28 feb,0.0,2020-03-03,03:39:28,taxiholiday1532,negative
2755,jepang uda jajah kita skr ngasi virus lagi,1.0,2020-03-03,03:37:48,xXx-cz2db,neutral
2756,alhamdulillah semoga virus corona membasmi semua pemimpin2 zalim di indonesia,0.0,2020-03-03,03:36:19,zamzami6551,positive
2757,feeling bad,0.0,2020-03-03,03:36:17,roziq_suseno,neutral
2758,yakin peama,0.0,2020-03-03,03:30:36,thefourthreich2039,positive
2759,dokter 39 a pasti ijazah beli seharusnya bisa berpikir satu rumah ibu dan anak bisa kena penyakit yg sm tanpa di test langsung nebak bronchitis,0.0,2020-03-03,03:29:09,zennysuryawan7700,neutral
2760,siapapun yg ikut pesta dansa malam itu harus segera periksakan diri dan harus ditelusuri lebih jauh lagi wn jepang itu nginap di hotel mana saja selama di jakaa dan dgn siapa saja dia berinteraksi kita doakan semoga mereka berdua yg positif corona cepat disembuhkan dan doa untuk seluruh warga masyarakat indonesia tanpa terkecuali semoga dijauhkan dari virus ini aamiin ya allah,0.0,2020-03-03,03:27:27,niasyam3810,positive
2761,kok warga jepang tsb bisa lolos msuk k indonesia,0.0,2020-03-03,03:26:58,ekoclock3091,neutral
2762,sekarang banyak yg panas dingin ketika sakit tapi semoga saja hanya demam biasa bukan corona,0.0,2020-03-03,03:25:25,BHMCHENEL,negative
2763,orang jepangnya tinggal di hotel mana orang jepangnya ke mall gak kalo kasih info yang lengkap,1.0,2020-03-03,03:25:21,alvincs7993,neutral
2764,kalo yg di pekampungan budidayakan menanam pohon pisang atau lompong atau pohon2 yg sifatnya lembab di daerah kota juga di sarankan ada tanaman lembab karna sifat virus suka yg lembab jadi virus memang dibutuhkan oleh tanaman lembab kalo gak ada tanaman lembab jadi ke hidung mulut telinga mata yg sifatnya lembab karna virus juga salah satu makhluk ciptaan tuhan yg dibutuhkan oleh tanaman yg lembab itu analisa saya sendiri kalo ada yg ga sepemikiran mohon maaf karna saya hidup di kampung yg ada tanaman lembab dan kering di area rumah quot tidaklah kuciptakan makhluk di bumi melainkan bermanfaat bagi manusia quot tidak ada yg sia2 sedikitpun ciptaan allah di bumi bagi orang2 tg mau berpikir semoga bermanfaat,1.0,2020-03-03,03:23:52,Amarvillastories,negative
2765,apakah ini azab,1.0,2020-03-03,03:22:09,grus9302,neutral
2766,ahli epidemologi univ texas lauren meyeis orang akan terinveksi virus corona tanpa menunjukan gejala selama 5 hari bahkan lebih ini yg disebut masa inkubasi rentang waktu virus sebelum menjadi gejala silahkan berkomentar ini hanya referensi,0.0,2020-03-03,03:21:15,joeawan4214,positive
2767,ternyata virusnya sudah wara wiri ketauwan terjangkit karena dapat kabar dari orang yang sudah postif corona mudah quot an tidak menyebar virusnya,0.0,2020-03-03,03:20:05,BukanUban,negative
2768,warga negara jepang pernah melakukan perjalanan ke jepang,0.0,2020-03-03,03:18:51,viquersvikers4879,negative
2769,iya maksudnya gini org jepang ka krj d malaysia nah sebelum tgl 14 itu dia pulang dulu k jpng trus k indo baru balik lg kerja di malaysia,0.0,2020-03-05,11:12:40,Ulianti93,neutral
2770,mungkin aja udah banyak yang sudah terinfeksi virus corona di indonesia sekarang ini tapi belum terdeteksi siapa saja orangnya kita akan lihat perkembangan dalam beberapa hari atau beberapa minggu dan beberapa bulan kedepan waspadalah virus ini jangan diremehkan saya anjurkan agar selalu memakai masker setiap hari,1.0,2020-03-03,03:17:13,redofficial6386,neutral
2771,nunggu org komen jadul ttg corona kerokanes tehkonidin indonesia santuysombong sih giliran kena ganti komenwkwkwkwkwk mending banyakin doa,248.0,2020-03-03,03:15:58,mi6563,neutral
2772,yup,0.0,2020-03-04,10:57:30,dariantjo2228,positive
2773,mungkin minum air hangat bisa kan,0.0,2020-03-04,11:24:01,fizarreno9937,neutral
2774,indonesia punya allah kk,0.0,2020-03-04,13:33:20,anthon1321,positive
2775,yup,0.0,2020-03-04,20:39:36,ريفتريني,positive
2776,warga 62 kena coronaemak2 es teroooooosssssss,1.0,2020-03-05,07:04:17,luthfieyudhairawan3883,positive
2777,yang mengikuti dansa jgn panik dulu yah mulai dari skrng segera periksa trlebih dhulu,0.0,2020-03-03,03:15:38,putraramadhan850,negative
2778,bener kata who indonesia diragukan soal deteksi coronanyatanya yaa emg bener,0.0,2020-03-03,03:13:14,markokomar2693,neutral
2779,pasti habis cipokan tu warga depoknya sama wn jepang,3.0,2020-03-03,03:10:29,belajarmasak1416,positive
2780,belajar masak hbs ngentod jg itu pasti,0.0,2020-03-03,16:45:39,user-hr7dp9ro2w,positive
2781,lu kira film japanse babyk,0.0,2020-03-04,17:09:30,frenkytexas2779,neutral
2782,itu dokter yang memeriksa mereka berdua harus dicek ga sih bukan karna salah diagnosis tapi karna uda kontak langsung dengan penderita corona itu,0.0,2020-03-03,03:08:06,Snow.oN.sahara,negative
2783,dokternya juga udah kena tuh ampun deh nyeremin banget sih,0.0,2020-03-03,03:07:48,mayamangata3261,negative
2784,corona mulai menyebar di indonesia penjual masker gw kaya slurrr,0.0,2020-03-03,03:06:11,brenxxx666,neutral
2785,stonks,0.0,2020-03-03,05:09:30,farhan546,positive
2786,nah ketauan tidak becusan dokter indonesia jadi indonesia tidak menjamin akan penangan virus corona ini indo punya alat canggih tapi cm pajangan karna dokternya masih banyak yang gaptek dan asal menyimpulkan saja ga heran banyak orang berobat di luar negeri karna dokter kita cuma cari duit biar bisa balik modal sekolahnya masa dibilang bronhitys kamvrettttttt dokter kita ini bahkan dokter indo tanpa memeriksa dan cm tanya apa yang di rasakan trs menyimpulkan sakit anu katanya 99 dokter di indo sepei itu penangannya apalgi pasien bpjs jangan banyak berharap dah,0.0,2020-03-03,03:03:47,handyzhou4200,negative
2787,kecolongan kan makanya tau diri dnk udh jls virus ini bahaya udh bnyk mkn korban dmn otak mu,0.0,2020-03-03,03:02:44,rikoyoni7065,neutral
2788,bronkitis ya ampun dr ngga tanya pasien ada kontak sama siapa2 sebelumnya,0.0,2020-03-03,03:01:28,noahaja490,neutral
2789,aku menunggu orang indonesia mengadakan keliling kampung dengan membaca do 39 a tolak bala,0.0,2020-03-03,03:00:09,hinatahime2547,negative
2790,ternyata oh ternyata miris menganggap enteng corona akhirnya kecolongan setelah tetangga teriak teriak,0.0,2020-03-03,02:58:19,mrxpx166,negative
2791,dia yg enak2 pesta kita yg gak ikut pesta jadi ikut was2 suntik mati saja itu yg kena virus daripada kena semua makan tu pesta,14.0,2020-03-03,02:57:30,hamsyahancah1343,negative
2792,w s7 bro,2.0,2020-03-03,05:28:19,mie_sedap_goreng_ajg4488,positive
2793,dibakar aja karena semua virus mati dgn api,2.0,2020-03-03,11:03:53,kocakchenel7247,negative
2794,kocakchenel7247 bakar manusia toxic doyan pay,1.0,2020-03-03,13:44:19,CJ_Brambo,negative
2795,hh,1.0,2020-03-03,16:46:32,dikabarcelona8302,positive
2796,ya alloh jauhkan smua umatmu dri musibah ya rob aamiin,0.0,2020-03-03,02:55:59,sitiwahyuni5078,positive
2797,mana tuh netizen yg takabur yg menggebu gebu indo anti virus,0.0,2020-03-03,02:53:37,mohfachmi5999,negative
2798,tolong pihak bandara indonesia untuk menutup penerbangan ke luar negeri untuk sementara jika virus corona tidak terdeteksi lagi maka penerbangan ke luar negeri dibuka kembaliyang setuju like,0.0,2020-03-03,02:53:08,azkagamingchannel4512,neutral
2799,nahkan bener kata who indonesia itu gamampu mendeteksi bayangin dong dari tgl 14 feb sampai tgl 1 maret baru dikabari positive corona itupun untung dikasih tau sama warga jepang,0.0,2020-03-03,02:53:07,musfitadevi7439,neutral
2800,pemerintah besea pak mentri ksehatan senyam senyum dan bilang semua fasilitas kesehatan dari kota sampai desa siap untuk menghadapi corona tapi kenyataanya apa rumah sakit kita salah diagnosa kalo sampe tidak ada kabar dari malaisia saya tidak yakin indonesia bisa mendeteksi bener2 kecewa sama pemerintah semoga bapak mentri yang senyum2 santai di beri kesehatan edit turut prihatin atas yg terjadi terhadap pak mentri semoga lekas sembuh stay safe gaees,156.0,2020-03-03,02:49:47,robybarokah,positive
2801,gampang bicara dan kenyataan blm ada fasilitas lengkap sampai kedesa,3.0,2020-03-05,02:23:01,salsasalsabysalsaby251,negative
2802,yg salah kan dokternya,1.0,2020-03-05,03:57:20,meitaanisaf,negative
2803,meitaanisaf jadi kalau misalnya ada 1000 dokter di indonesia yg salah diagnosa apa masih pantas yg disebut salah dokternya bukan sistemnya,6.0,2020-03-05,04:14:17,robybarokah,negative
2804,wkwkwkk,0.0,2020-03-05,08:58:25,lianaalharis6050,positive
2805,robybarokah halah mau deteksi corona deteksi keberadaan koruptor harus masiku pemerintah aja gk bisa awkwkw v,7.0,2020-03-05,09:30:43,alfath-v5v,negative
2806,bro bro pada rutin minum minuman jahe ya klo bisa yg bikin sendiri,0.0,2020-03-03,02:49:00,roronoazoro1127,neutral
2807,jepang amp china pembawa penyakit,0.0,2020-03-03,02:47:54,maz_hamarziky7749,positive
2808,simple menkes ny aja kebanyakan ngelawak blg indonesia bisa cegah corona dengan doa bukan belajar tindakan pencegahan dri negara2 lain yg ud kena menteri 62,0.0,2020-03-03,02:47:51,personalnotes6163,negative
2809,mati tuhan yang tau kok gitu kok pusing,0.0,2020-03-03,02:47:20,afifassihab7953,negative
2810,halo semua saya sita yang dikabarkan positif corona yes yang fotonya barusan disebarkan di grup ini maaf daritadi siang saya ga komen apapun krn saya bingung sekali saya lihat di tv soal saya dan ibu saya positif corona dan juga baca di berbagai grup whatsapp dengan inisial saya maupun ibu saya juga alamat lengkap rumah saya alhasil sampai rumah saya masuk berita krn banyak sekali media mendatangi dan menyebarkan data yg tidak akurat kejadiannya adalah saya batuk dan demam dr tgl 16 feb dan sejak itu ga keluar rumah hari kamis lalu krn masih sakit saya ke rs mitra keluarga depok dan di info bahwa saya bronchopneumonia dan ibu saya tifus kami saat itu masih tidak ada pikiran apapun meskipun dirawat kemudian hari jumat lalu ada teman saya yg kalian pasti kenal juga nelpon saya dari malaysia untuk memberi info bahwa ada orang jepang yg positif corona per 26 feb dan dia ke amigos kemang tgl 14 feb dan ke paloma tempat saya host tgl 15 feb demi keamanan dan kesehatan nasional saya info ke dokter agar saya diperiksa karena itu saya di isolasi dari hari minggu saya bahkan sampai sekarang tidak tahu dan tidak kenal orang jepang ini siapa i just happen to be in the wrong place at the wrong time kenapa saya ga info apapun di grup karena saya bingung sampai sekarang tidak ada satu dokterpun yang nyamperin untuk menjelaskan apapun ataupun memberi lihat hasil tes saya i did what i can by giving the contacts of my family and closest friends dan mereka sudah dihubungi oleh dinas kesehatan dan dibawa untuk diambil samplenya juga untuk memastikan virus tidak tersebar i did what i can for everyone and i would appreciate it if you would not spread my picture like this you have no idea how stressed i am right now being isolated seeing news about myself my mother and my house without any explanations reading broadcast messages about me having people finding out my social media and my family 39 s also people spreading pictures of my family and i so i would appreciate it if people i know of who are in the same group as me would respect my privacy and help me get through this instead of putting more stress in my head by spreading my pictures i am in good hand in isolation and i will be here until i am negative covid 19 thank you everyone for your understanding and to those of you who were at amigos kemang on 14 feb and paloma on 15 feb i 39 d suggest you all get tested because its always better to be safe than sorry thank you all,0.0,2020-03-03,02:47:13,ZizieAnimation,neutral
2811,apa yg di takut who terhadap indonesia pun skr terjadiindonesia belum bs mendeteksi virus ini dan kmrn pemerintah spi kurang tanggap akan pernyataan who inilebih bahaya kasus kyk gitu tiba2 yg suspect virus ini berlipat ganda bahkan positif covid 19spi kasus di korea tiba2 dr 400an mnjdi 800an kurun waktu 2 3 mingguapalagi penduduk indonesia bnyak dan msh bnyk juga msyrkt indonesia kurang menjaga kebersihan dn kesehatansemoga semua warga negara indonesia di jauhkan dr segala macam penyakit marabahaya dll selalu dalam lindungan allah s w t,0.0,2020-03-03,02:41:57,kikakamiel9580,positive
2812,indonesia ku harus ketinggalan dari segi apa lagi inovasi teknologi ketinggalan ilmu pengetahuan ketinggalan bahkan kena wabah penyakit juga harus ketinggalan semoga hilangnya wabah penyakit ini dari indonesia ngga ikut ketinggalan,42.0,2020-03-03,02:38:28,semanqaa7004,neutral
2813,ada yg gak ketinggalan kok indonesia di atas negara2 lain yaitu korupsi,0.0,2020-03-06,04:07:42,sones6254,neutral
2814,dah la malesss,0.0,2020-03-07,18:02:04,brendaogael3136,negative
2815,gak bole gitu capek capek pahlawan perjuangin negri ini kalian dongk generasi muda yang majuin indonesia,0.0,2020-03-10,10:25:42,desakmademaspratiwi8755,negative
2816,desakmademaspratiwi8755 itu azab mereka yang ngebantai umat,0.0,2020-03-14,17:12:33,brendaogael3136,negative
2817,antek comunis ktakutan borong smbako dll ha,0.0,2020-03-03,02:36:36,boissunengsih4064,neutral
2818,peanyaannya warga jepang itu koq bisa lolos masuk indonesia percumalah berkoar koar dimedsos menjaga ini menjaga itu ihh kayak menjaga pohon durian saja,0.0,2020-03-03,02:36:24,mayamangata3261,negative
2819,yg kna pasti wanita penghibur dan bukan muslim atau pun islam dia mengkafirkan diri aiya jadi wanita penghibur wa berdoa tuk muslim indonesia dilindungi allah swt dri pirus korona amin,1.0,2020-03-03,02:35:24,boissunengsih4064,positive
2820,memang pemerintah suka sembunyikan sesuatu demi kepentingan sndiri dan golongannya,1.0,2020-03-03,02:34:27,oliviafariska4313,negative
2821,tanya dong 2 warga depok tersebut etnis apa y boleh d share dong barusan liat video yg ternyata forona menyerang etnis teentu,1.0,2020-03-03,02:33:33,rilisdecor6137,neutral
2822,ngomong beslemak,0.0,2020-03-03,02:33:14,rangermerah2425,negative
2823,cek jg interaksi si ibu dan anak nya dg tetangga rumah,0.0,2020-03-03,02:32:57,jubahireng3009,neutral
2824,yang kehabiaan masker mending kreatif deh bikkn masker sendiri dr kain,1.0,2020-03-03,02:32:53,nikamoeharyoso6365,neutral
2825,bikin masker dari keas,1.0,2020-03-03,05:19:23,abangdzaky9160,neutral
2826,halo semua saya sita yang dikabarkan positif corona yes yang fotonya barusan disebarkan di grup ini maaf daritadi siang saya ga komen apapun krn saya bingung sekali saya lihat di tv soal saya dan ibu saya positif corona dan juga baca di berbagai grup whatsapp dengan inisial saya maupun ibu saya juga alamat lengkap rumah saya alhasil sampai rumah saya masuk berita krn banyak sekali media mendatangi dan menyebarkan data yg tidak akurat kejadiannya adalah saya batuk dan demam dr tgl 16 feb dan sejak itu ga keluar rumah hari kamis lalu krn masih sakit saya ke rs mitra keluarga depok dan di info bahwa saya bronchopneumonia dan ibu saya tifus kami saat itu masih tidak ada pikiran apapun meskipun dirawat kemudian hari jumat lalu ada teman saya yg kalian pasti kenal juga nelpon saya dari malaysia untuk memberi info bahwa ada orang jepang yg positif corona per 26 feb dan dia ke amigos kemang tgl 14 feb dan ke paloma tempat saya host tgl 15 feb demi keamanan dan kesehatan nasional saya info ke dokter agar saya diperiksa karena itu saya di isolasi dari hari minggu saya bahkan sampai sekarang tidak tahu dan tidak kenal orang jepang ini siapa i just happen to be in the wrong place at the wrong time kenapa saya ga info apapun di grup karena saya bingung sampai sekarang tidak ada satu dokterpun yang nyamperin untuk menjelaskan apapun ataupun memberi lihat hasil tes saya i did what i can by giving the contacts of my family and closest friends dan mereka sudah dihubungi oleh dinas kesehatan dan dibawa untuk diambil samplenya juga untuk memastikan virus tidak tersebar i did what i can for everyone and i would appreciate it if you would not spread my picture like this you have no idea how stressed i am right now being isolated seeing news about myself my mother and my house without any explanations reading broadcast messages about me having people finding out my social media and my family 39 s also people spreading pictures of my family and i so i would appreciate it if people i know of who are in the same group as me would respect my privacy and help me get through this instead of putting more stress in my head by spreading my pictures i am in good hand in isolation and i will be here until i am negative covid 19 thank you everyone for your understanding and to those of you who were at amigos kemang on 14 feb and paloma on 15 feb i 39 d suggest you all get tested because its always better to be safe than sorry thank you all,0.0,2020-03-03,02:32:38,badmintonlover9994,neutral
2827,terlalu tergesah gesah menginformasikannya menjelaskannya,0.0,2020-03-03,02:30:12,karmanaseng2985,negative
2828,lalu knp tgl 1 maret bru d ketahui dan mewabah hmmm bnr2 terlambat penangn para medis indonesia,0.0,2020-03-03,02:30:05,lylylyly1878,neutral
2829,hal yg sudah biasa salah diagnosa kalo di indonesia itulah kenapa penyakit ga sembuh2 ambil sisi positifnya aja krn keseringan minum obat minimal kalo ga sembut kan bs kenyang pas di kritik sama org luar soal kemampuan negara dlm menangani covid 19 padahal tujuannya baik agar indonesia menaikkan standar kemananan nya,0.0,2020-03-03,02:28:53,koetaredja3612,neutral
2830,bukan tidak ada tapi tidak bisa mendeteksi miris,0.0,2020-03-03,02:28:10,JBCANARY,negative
2831,tunjukin fto korban dong biar warga yg prnh interaksi tau dan sadar buat periksa ke dokter,8.0,2020-03-03,02:26:20,alvionitaaprilia1621,positive
2832,gara quot orang jepang ke jakaa kita semua kena hadeuhhhhh,0.0,2020-03-03,02:26:02,ezimig3442,negative
2833,orang quot yg kaya ajg kmrin yg blg quot indonesia kebal dari corona quot virus corona welcome in dong,99.0,2020-03-03,02:25:47,muhammadvicky5870,positive
2834,krn takabur kan jadi masuk corona ke indo,12.0,2020-03-04,07:35:18,jenjenchanel,neutral
2835,ok,2.0,2020-03-05,04:35:05,irulhuda9557,neutral
2836,menurut ku bukan takabur coba aja mereka yg kena virus dpt meminimalisir tdk ketemu orang asing kan gk rugi dan wna y jg kan balik ke malasya lg klo gk ada pesta alah2 itu,0.0,2020-03-07,16:49:06,Ka_Sriiie,negative
2837,berdansanlah di jakaa,0.0,2020-03-03,02:25:04,rachmatdarmawan3424,neutral
2838,udh lempar aja ke laut bikin panik aja di indonesia,1.0,2020-03-03,02:24:57,Ari_zuhriyan_,negative
2839,dokter yang peama mendiagnosa mereka ajah gak tau mereka kena virus corona gimana ya jadi ragu sama dokter2 itu kok lalai bgtterus kok ya bisa gak kepikiran corona apa mereka sebelumnya gak di uji lab dulu kecolongan yang fatal,0.0,2020-03-03,02:22:44,setiawatisinta09,negative
2840,tutup penerbangan internasional utk sementara waktu hingga vaksin utk virus corona sudah ada karena perjalan keluar maupun kedalam negeri bisa jadi jembatan virus,0.0,2020-03-03,02:21:51,ajimang01,neutral
2841,di malaysia dia da ktaun knak virus tpi knp dia dksih ke indo,0.0,2020-03-03,02:20:13,suryacahyadi5309,neutral
2842,warja jepang singgah di indo tapi ngak terdeteksi kemudian ke malaysia baru terdeteksi miris minim fasilitas medis di indo,0.0,2020-03-03,05:48:46,nuclearreactorofshahalam8145,neutral
2843,menurut ku indonesia bukan 0 covid tp memang dinas terkaitnya terlalu santuy toh di layanan keshtan deket rumah juga sering gitu priksa kesana tanpa diperiksa cuman ditanyain keluhan habis itu dikasih obat tanpa ada tindakangak tau sih kalo pelayanan daerah lain,3.0,2020-03-03,02:16:25,devilova6926,negative
2844,sudah tau ada orang asing malah diajak dansa,0.0,2020-03-03,02:16:10,rahmaayu6393,neutral
2845,padahal baru kmarin pada ngetawain cinamampus dllskarang ikutan panik,0.0,2020-03-03,02:14:38,tembakanlaser307,positive
2846,andai saja si jepang tidak menelpon nih mungkin saja indonesia masih zero covid 19 jadi dapat di ambil kesimpulan virus ini dapat menyebar lewat telpon ngeri ngeri,0.0,2020-03-03,02:14:25,nendrabeluci8797,positive
2847,mohon dengan amat sangat kepada pemerintah indonesia tolong segera isolasi para suspect atau korban virus corona di negara kita di sebuah rumah sakit yang berkeamanan tinggi standar militer tolong jangan sampai jangan sampailah virus ini dapat diakses dan dimanfaatkan oleh para kelompok teroris tolonglah jangan dianggap sepele kemungkinan ini,0.0,2020-03-03,02:14:08,richardyus448,negative
2848,luar biasa muncul ahli2 pandemik 62 di kolom komentar,1.0,2020-03-03,02:11:56,dhanang,neutral
2849,la trus yg kontak sm ke 2 warga depok tu gk di slidiki sm rumahsakit yg di tuju peamakali bisa bhya nnt klo gk di antisipasi lgi di cek dan di cek trus,0.0,2020-03-03,02:08:57,adityanayana4484,negative
2850,sobat2 semua tenang saja kalian yg sawo matang susah terjangkit penyakit ini si korban sudah menulari banyak orang kec sawo matang,0.0,2020-03-03,02:03:25,amirahfarhana7450,positive
2851,tanggal 14 ketemuan wn jepang muncul gejala tanggal 17 wn indo muncul gejala tanggal 16ini yang terinfeksi duluan yang mana bisa jadi wn indo emang ketularan sebelumnya harus diruntut juga wn indo nya ada travel history kemana saja sebelumnya bisa jadi sudah teular sebelum beemu wn jepang karena proses gejala nya cuma 2 hari sedangkan wn jepang malah lebih lambat gejala nya,0.0,2020-03-03,02:01:00,David-zp3dv,neutral
2852,nah loh kalo gak nelpon bisa ponoumina itu diagnosanya error alhamdulillah ketahuan,0.0,2020-03-03,01:59:22,yayasanpenataamanahselaras9030,positive
2853,indonesia iklim nya tropis panassss bgt virus corona inya allah gakan menyebar krena gakan kuat lama klo kena panas makan ny jgn tkut panas bro demi ksehatan,0.0,2020-03-03,01:57:40,teddymulyana2661,negative
2854,jangan2 sudah banyak yang kena korona tapi tak terdeteksi wowowowowm jadi takut keluar rumah,0.0,2020-03-03,01:57:02,CahyaningNalar,negative
2855,corona mulai merebak ini pasti karena anies buzzer kodok biasanya teriak begitu mana si kodok lagi ke jamban ya mules corona,0.0,2020-03-03,01:56:42,dikdik809,negative
2856,baru tau setelah ada kabar dari malaysia waduh bahaya ini bagai mana kalau virus yg udah nyebr tapi ga kedeteksi semoga cepet hilang virus ini dari indonesia dan semoga gk menyebar aamiin,100.0,2020-03-03,01:56:09,ezenali7734,positive
2857,karena belum ada gejala sayang waktu di indonesia,0.0,2020-03-04,23:54:04,agengnastiti4752,positive
2858,sengaja kali yaa abis ke indo ngapain ke malaysia,0.0,2020-03-03,01:55:31,fajarmaulana591,neutral
2859,katanya orang indo bebas corona karna yg mereka makan adalah bakso geranat molen bakso merecon katanya kuat2 tpi masih kurang pengetahuan tuk itu mari kita belajar sehat dr skrang cuci tangan sebelm makan atau seblm melakukan aktivitas lainnya cuci kaki tangan dan wajah terutama hidung jika sudah bepergian jaga pola makan dan perbanyak buah2an yg mengandung vitamin a dan c dan jauhkan sedikit jarak jika kalian sedang berbicara dengan orang lain,0.0,2020-03-03,01:55:27,caswati9515,positive
2860,bom waktu makanya jangan meredam isu corona dengan 72 m saya yakin 2 kasus yang ditemukan ini sepei gunung es,0.0,2020-03-03,01:52:35,ganjarbikers,negative
2861,yg gua heran kenapa wn jepang mudah sekali masuk ke negara kita,1.0,2020-03-03,01:51:17,NJ-xe9ct,positive
2862,sama macam ibu aku dulu taun 2015 diaknosa dokter ternama hasilnya brongkitis makan obat 3 minggu blm sembuh begitu ganti dokter pingiran tipes makan obat seminggu baikan,0.0,2020-03-03,01:49:03,agungmustofa7802,neutral
2863,banyak berdoa dan beribadah menurut agamany masing2 agar terhindar dr virus jaga kebersihan diri dan daya tahan tubuh agar tdk sakit setelah melakukan kontak di fasilitas umum biasakan bawa steril kuman banyak berdoa ya krn wabah itu adalah cobaan yg diberikan tuhan instropeksi diri dan berdoa mohon ampun agar dijauhkn dr segala mcm penyakit,0.0,2020-03-03,01:46:10,riarini9081,positive
2864,yg dari tgl 17 feb smp 1 maret kmn ja tuh org depokkk bahaya jgn kaya kasus yg d korea dari 30an kasus langsung meledak jd 700an kasus,0.0,2020-03-03,01:45:16,ariorinaldhi9917,negative
2865,yang merasa contak dgn orang valentine itu cepat ke rumah sakit kasian keluarga anda,0.0,2020-03-03,01:44:43,dedydanieldelfin7080,negative
2866,biasanya obat penyakit mirip dengan penyakitnya ex penyakit mata obat yang mirip dengan mata itu woel sedangkan virus buah yang mirip virus biji kedondong siapa tau kedondong bisa menjadi antivirus yang lain ataupun corona v v v,0.0,2020-03-03,01:44:36,fatmarosdiyanti7345,positive
2867,virus corona bukan virus main main harus tingkatkan kewaspadaan dan pengawasan yg ketat kerna virus di ketahui setelah 14 hari dari mulai terjangkit alangkah baiknya pihak bandara menyediakan ruang karantina 14 hari atau tutup penerbangan luar negri saja,0.0,2020-03-03,01:44:31,juragankroya1323,neutral
2868,agenda elite global freemason untuk mengurangi populasi manusia di bumi dengan menciptakan biological weapon virus mematikan a,0.0,2020-03-03,01:41:20,rekyagustandi912,positive
2869,yg prgi k pesta dansa angkt tangn,0.0,2020-03-03,01:35:18,wahyuapriastuti9860,positive
2870,diantifasi pengunjung cafe yg dikunjungin,0.0,2020-03-03,01:35:00,andimargo2089,neutral
2871,bacot yuk mabar push rank,0.0,2020-03-03,01:34:59,rvbstudio123,neutral
2872,kalau sudah begitu pihak pemerintah dan pihak berwenang harus melakukan bnyk penulsuran lagi bukan hanya tempat dansa tempat umum sepei bandara sudah pasti terinfeksi duhh itu kemungkinan bnyk warga indonesia dari pulau lain yg mlkukan perjalanan dan berkumpul disitu gak kebayang semoga sllu di lindungi allah aaamiiin,0.0,2020-03-03,01:34:46,dapuran-nisa2494,positive
2873,gila d jakaa ternyata ya allah pesta dansanya,2.0,2020-03-03,01:31:58,vidiadwiramdani758,negative
2874,ko bisa gk ke deteksi di bandara bingung dah kemarin quot berai kerja nihil di bandara alat scan nya,0.0,2020-03-03,01:30:02,jokosatrioprakoso6663,neutral
2875,hanya kakek sugiono lah yang bisa menyembuhkan virus corona sayang nya dia lagi menyendiri dan tidak diketahui keberadaannya,0.0,2020-03-03,01:28:23,jevoalsander3646,negative
2876,ngeri taunya dia kena corona juga karna diawali karna kabar temeny dari malaysia karna dokter di indonesi mendetekainy bronkitis aduhhh gimana ini kompetensi dokter jangan2 sebenerny udah banyak tapi di kira demam bisa,0.0,2020-03-03,01:26:55,candragootube,negative
2877,pesta dansa dugem hayolooo yg dugem valentine 39 an kemarin siapa ajaaa check dulu sana,17.0,2020-03-03,01:26:44,dodysirait5953,neutral
2878,cek2juga percumah doctornya gk bisa deteksi corona bronkitis hedeeh,0.0,2020-03-06,12:42:22,leeme4546,negative
2879,tembak mati aja biar gak menular,6.0,2020-03-03,01:24:58,damarmayendramayendra8603,negative
2880,,0.0,2020-03-04,13:40:36,ridwandwiputra9449,positive
2881,iso kyok ngene lo,0.0,2020-03-04,13:41:10,ayuverawati657,negative
2882,ngana kira korut,0.0,2020-03-04,15:11:17,hartoboi2544,negative
2883,keras lirr,0.0,2020-03-04,17:07:31,frenkytexas2779,positive
2884,moga menghampir yg mengizinkan atau menerima atau pun menginginkan mereka kembali,0.0,2020-03-03,01:23:44,udinbroo4649,positive
2885,ternyata emang tidak bisa mendeteksi buktinya aja diagnosa dokter bukan corona melainkan bronkitis itu kalau enggak ada kabar dari warga jepang yg positif corona mungkin lebih parah,0.0,2020-03-03,01:23:11,rizkyiqhya5776,positive
2886,jadi tak salah kalau ada anggapa dunia luar yg menanyakan apakah indonesia bisa mendeteksi virus corona di saat pasien punya kesadaran memeriksa dirinya ke dokter eh malahan dokter mendiagnosa penyakit bronhitis khan aneh lagi pula akhirnya terdeteksi ada virus yg mwnimpa warga depok ini bukan karna hasil diagnosa dokter tapi karna kesadaran dan pengakuan dari warga depok itu sendiri,0.0,2020-03-03,01:22:44,sondi3848,negative
